movedur,added_mass,target,effmass,effmass_mean,sum_t2
1.4,1,3,2.6396,2.7064,0.052476
1.4,1,4,4.3366,4.3365,0.060129
1.4,1,5,2.8201,2.7098,0.044805
1.4,1,6,4.7133,4.4919,0.063358
1.4,1,7,2.8092,2.7082,0.052426
1.4,1,8,4.3632,4.3368,0.060134
1.5,1,1,2.6396,2.7079,0.036388
1.5,1,2,4.3366,4.488,0.051564
1.5,1,3,2.6396,2.7065,0.04267
1.5,1,4,4.3366,4.3365,0.048897
1.5,1,5,2.8201,2.7097,0.036431
1.5,1,6,4.7133,4.4918,0.051527
1.5,1,7,2.8092,2.7081,0.042636
1.5,1,8,4.3632,4.3368,0.048901
1.6,1,1,2.6396,2.708,0.029989
1.6,1,2,4.3366,4.4881,0.04249
1.6,1,3,2.6396,2.7065,0.035161
1.6,1,4,4.3366,4.3365,0.040295
1.6,1,5,2.8201,2.7096,0.030019
1.6,1,6,4.7133,4.4916,0.042465
1.6,1,7,2.8092,2.7081,0.035137
1.6,1,8,4.3632,4.3368,0.040298
1.7,1,1,2.6396,2.708,0.025006
1.7,1,2,4.3366,4.4882,0.035426
1.7,1,3,2.6396,2.7065,0.029315
1.7,1,4,4.3366,4.3365,0.033597
1.7,1,5,2.8201,2.7096,0.025027
1.7,1,6,4.7133,4.4915,0.035408
1.7,1,7,2.8092,2.708,0.029298
1.7,1,8,4.3632,4.3368,0.033599
1.8,1,1,2.6396,2.708,0.021068
1.8,1,2,4.3366,4.4883,0.029844
1.8,1,3,2.6396,2.7066,0.024695
1.8,1,4,4.3366,4.3365,0.028305
1.8,1,5,2.8201,2.7095,0.021083
1.8,1,6,4.7133,4.4914,0.029831
1.8,1,7,2.8092,2.708,0.024684
1.8,1,8,4.3632,4.3367,0.028306
1.9,1,1,2.6396,2.7081,0.017915
1.9,1,2,4.3366,4.4883,0.025376
1.9,1,3,2.6396,2.7066,0.020998
1.9,1,4,4.3366,4.3365,0.024068
1.9,1,5,2.8201,2.7095,0.017926
1.9,1,6,4.7133,4.4913,0.025366
1.9,1,7,2.8092,2.7079,0.020989
1.9,1,8,4.3632,4.3367,0.024069
2,1,1,2.6396,2.7081,0.015361
2,1,2,4.3366,4.4884,0.021757
2,1,3,2.6396,2.7066,0.018003
2,1,4,4.3366,4.3365,0.020636
2,1,5,2.8201,2.7094,0.015369
2,1,6,4.7133,4.4912,0.02175
2,1,7,2.8092,2.7079,0.017997
2,1,8,4.3632,4.3367,0.020636
2.1,1,1,2.6396,2.7081,0.01327
2.1,1,2,4.3366,4.4884,0.018794
2.1,1,3,2.6396,2.7066,0.015552
2.1,1,4,4.3366,4.3365,0.017826
2.1,1,5,2.8201,2.7094,0.013276
2.1,1,6,4.7133,4.4911,0.018789
2.1,1,7,2.8092,2.7078,0.015547
2.1,1,8,4.3632,4.3367,0.017827
2.2,1,1,2.6396,2.7081,0.011542
2.2,1,2,4.3366,4.4885,0.016346
2.2,1,3,2.6396,2.7067,0.013526
2.2,1,4,4.3366,4.3365,0.015504
2.2,1,5,2.8201,2.7093,0.011547
2.2,1,6,4.7133,4.491,0.016342
2.2,1,7,2.8092,2.7078,0.013522
2.2,1,8,4.3632,4.3367,0.015505
2.3,1,1,2.6396,2.7081,0.010101
2.3,1,2,4.3366,4.4885,0.014305
2.3,1,3,2.6396,2.7067,0.011837
2.3,1,4,4.3366,4.3365,0.013569
2.3,1,5,2.8201,2.7093,0.010105
2.3,1,6,4.7133,4.491,0.014302
2.3,1,7,2.8092,2.7078,0.011834
2.3,1,8,4.3632,4.3367,0.013569
2.4,1,1,2.6396,2.7082,0.0088907
2.4,1,2,4.3366,4.4886,0.01259
2.4,1,3,2.6396,2.7067,0.010418
2.4,1,4,4.3366,4.3365,0.011943
2.4,1,5,2.8201,2.7093,0.0088935
2.4,1,6,4.7133,4.4909,0.012588
2.4,1,7,2.8092,2.7077,0.010416
2.4,1,8,4.3632,4.3367,0.011943
2.5,1,1,2.6396,2.7082,0.0078661
2.5,1,2,4.3366,4.4886,0.011139
2.5,1,3,2.6396,2.7067,0.0092171
2.5,1,4,4.3366,4.3365,0.010566
2.5,1,5,2.8201,2.7092,0.0078683
2.5,1,6,4.7133,4.4908,0.011137
2.5,1,7,2.8092,2.7077,0.0092154
2.5,1,8,4.3632,4.3367,0.010566
2.6,1,1,2.6396,2.7082,0.0069931
2.6,1,2,4.3366,4.4886,0.0099025
2.6,1,3,2.6396,2.7067,0.0081939
2.6,1,4,4.3366,4.3365,0.0093932
2.6,1,5,2.8201,2.7092,0.0069948
2.6,1,6,4.7133,4.4908,0.009901
2.6,1,7,2.8092,2.7077,0.0081926
2.6,1,8,4.3632,4.3367,0.0093933
2.7,1,1,2.6396,2.7082,0.0062446
2.7,1,2,4.3366,4.4887,0.0088424
2.7,1,3,2.6396,2.7067,0.0073167
2.7,1,4,4.3366,4.3365,0.0083877
2.7,1,5,2.8201,2.7092,0.006246
2.7,1,6,4.7133,4.4907,0.0088412
2.7,1,7,2.8092,2.7077,0.0073156
2.7,1,8,4.3632,4.3367,0.0083878
2.8,1,1,2.6396,2.7082,0.0055992
2.8,1,2,4.3366,4.4887,0.0079284
2.8,1,3,2.6396,2.7067,0.0065604
2.8,1,4,4.3366,4.3365,0.0075207
2.8,1,5,2.8201,2.7092,0.0056003
2.8,1,6,4.7133,4.4907,0.0079274
2.8,1,7,2.8092,2.7076,0.0065595
2.8,1,8,4.3632,4.3367,0.0075208
2.9,1,1,2.6396,2.7082,0.0050397
2.9,1,2,4.3366,4.4887,0.0071361
2.9,1,3,2.6396,2.7068,0.0059048
2.9,1,4,4.3366,4.3365,0.0067692
2.9,1,5,2.8201,2.7091,0.0050406
2.9,1,6,4.7133,4.4906,0.0071353
2.9,1,7,2.8092,2.7076,0.0059041
2.9,1,8,4.3632,4.3366,0.0067693
3,1,1,2.6396,2.7082,0.0045524
3,1,2,4.3366,4.4887,0.006446
3,1,3,2.6396,2.7068,0.0053338
3,1,4,4.3366,4.3365,0.0061146
3,1,5,2.8201,2.7091,0.0045532
3,1,6,4.7133,4.4906,0.0064453
3,1,7,2.8092,2.7076,0.0053332
3,1,8,4.3632,4.3366,0.0061147
0.2,2,1,3.6997,3.7892,2.0347
0.2,2,2,5.448,5.6291,1.7881
0.2,2,3,3.6997,3.7349,1.8396
0.2,2,4,5.448,5.4274,1.4257
0.2,2,5,3.9341,3.8052,1.7286
0.2,2,6,5.9157,5.661,1.5192
0.2,2,7,3.8084,3.7423,2.2022
0.2,2,8,5.4321,5.4263,1.7469
0.3,2,1,3.6997,3.7911,3.5116
0.3,2,2,5.448,5.633,3.0965
0.3,2,3,3.6997,3.7355,3.5938
0.3,2,4,5.448,5.4268,2.7934
0.3,2,5,3.9341,3.8021,3.3533
0.3,2,6,5.9157,5.6549,2.9246
0.3,2,7,3.8084,3.7406,3.7912
0.3,2,8,5.4321,5.4261,2.9825
0.4,2,1,3.6997,3.7921,3.4871
0.4,2,2,5.448,5.635,3.0636
0.4,2,3,3.6997,3.7359,3.8142
0.4,2,4,5.448,5.4265,2.9735
0.4,2,5,3.9341,3.8005,3.5453
0.4,2,6,5.9157,5.6517,3.0887
0.4,2,7,3.8084,3.7398,3.7611
0.4,2,8,5.4321,5.4259,2.9323
0.5,2,1,3.6997,3.7927,2.3827
0.5,2,2,5.448,5.6362,2.0863
0.5,2,3,3.6997,3.7361,2.6168
0.5,2,4,5.448,5.4263,2.032
0.5,2,5,3.9341,3.7995,2.4296
0.5,2,6,5.9157,5.6497,2.1071
0.5,2,7,3.8084,3.7392,2.5732
0.5,2,8,5.4321,5.4258,1.9984
0.6,2,1,3.6997,3.7931,1.5016
0.6,2,2,5.448,5.637,1.3105
0.6,2,3,3.6997,3.7363,1.6363
0.6,2,4,5.448,5.4262,1.266
0.6,2,5,3.9341,3.7988,1.5177
0.6,2,6,5.9157,5.6484,1.3125
0.6,2,7,3.8084,3.7389,1.6234
0.6,2,8,5.4321,5.4258,1.2582
0.7,2,1,3.6997,3.7934,0.96617
0.7,2,2,5.448,5.6376,0.84139
0.7,2,3,3.6997,3.7364,1.0484
0.7,2,4,5.448,5.4261,0.80989
0.7,2,5,3.9341,3.7983,0.97159
0.7,2,6,5.9157,5.6474,0.83974
0.7,2,7,3.8084,3.7386,1.0451
0.7,2,8,5.4321,5.4258,0.80895
0.8,2,1,3.6997,3.7937,0.65231
0.8,2,2,5.448,5.6381,0.5675
0.8,2,3,3.6997,3.7364,0.70693
0.8,2,4,5.448,5.426,0.54601
0.8,2,5,3.9341,3.7979,0.65476
0.8,2,6,5.9157,5.6467,0.56633
0.8,2,7,3.8084,3.7384,0.70561
0.8,2,8,5.4321,5.4257,0.54589
0.9,2,1,3.6997,3.7938,0.46046
0.9,2,2,5.448,5.6385,0.40042
0.9,2,3,3.6997,3.7365,0.49869
0.9,2,4,5.448,5.426,0.38526
0.9,2,5,3.9341,3.7976,0.46174
0.9,2,6,5.9157,5.6461,0.39975
0.9,2,7,3.8084,3.7383,0.49802
0.9,2,8,5.4321,5.4257,0.38523
1,2,1,3.6997,3.794,0.33666
1,2,2,5.448,5.6387,0.29268
1,2,3,3.6997,3.7366,0.36442
1,2,4,5.448,5.4259,0.28159
1,2,5,3.9341,3.7974,0.33736
1,2,6,5.9157,5.6456,0.29227
1,2,7,3.8084,3.7382,0.36407
1,2,8,5.4321,5.4257,0.28161
1.1,2,1,3.6997,3.7941,0.25333
1.1,2,2,5.448,5.639,0.22017
1.1,2,3,3.6997,3.7366,0.27411
1.1,2,4,5.448,5.4259,0.21184
1.1,2,5,3.9341,3.7972,0.25373
1.1,2,6,5.9157,5.6452,0.21992
1.1,2,7,3.8084,3.738,0.27392
1.1,2,8,5.4321,5.4257,0.21186
1.2,2,1,3.6997,3.7942,0.1953
1.2,2,2,5.448,5.6392,0.16971
1.2,2,3,3.6997,3.7366,0.21127
1.2,2,4,5.448,5.4259,0.1633
1.2,2,5,3.9341,3.7971,0.19555
1.2,2,6,5.9157,5.6449,0.16955
1.2,2,7,3.8084,3.738,0.21116
1.2,2,8,5.4321,5.4257,0.16331
1.3,2,1,3.6997,3.7943,0.1537
1.3,2,2,5.448,5.6394,0.13354
1.3,2,3,3.6997,3.7367,0.16624
1.3,2,4,5.448,5.4258,0.1285
1.3,2,5,3.9341,3.7969,0.15386
